brand_id,brand_name
1136,Seiko
1126,PONYKASEI
207,The Plant Base
395,Heineken
201,Abercrombie & Fitch
917,YOOMI
1661,Ba Sạch
1675,Aopeng
374,OLI
747,Lavie
447,AMI
46,CK
431,LEC
652,Deerma
262,FRISO
1265,Corine de Farme
7,Vaseline
59,Leapfrog
1192,Razer
410,OEM
1015,NISHIMURA
1203,Asia
378,BIORAY
340,Nature's Way
155,DSQUARED2
1454,AGU
1573,Jele
1673,LIAN
1089,Supor
941,Karcher
958,NGUYEN
676,Electrolux
912,Whisper
82,Dr.Spock
296,Ally Billy
1324,Kioxia
1223,Kingston
1284,Posi
562,HIGHLANDS COFFEE
1163,Skin1004
1385,ViewSonic
778,SMONEO
1629,M.pros
397,DEVONDALE
1604,Daesan Korean Ginseng
1462,d 'Alba
1103,Sorbus 
312,Lifebuoy
969,CALBEE
1559,Talaethong
715,OLIV
1187,HyperWork 
523,BABYZEN
337,KRACIE
1062,BATMAN
635,THINK NATURE
452,ONLY ORGANIC
1078,Monabee
86,KHORUOU
1282,Blue Diamond
992,HONOR
83,HAIRBURST
1647,Tipo
762,MUZIGAE MANSION
41,Similac
417,ACER
867,HUGGIES
1291,Airwick
608,Deasung
467,SERIA
1643,Method
603,Lashe SuperFood
1333,Hikid
109,Klairs
1404,Avorio
1037,The Cafuné
1286,Onenuts
1665,Bình Liêu
105,UDON
1470,Daichipro
589,RITZ
191,Pediasure
17,LOCK&LOCK
679,PRONOTI
1690,Paveden
1339,AULA
849,Gucci
233,Oral-B
1050,myALO
1637,Mihoo
434,Glico
269,Bike
1546,Turtle Beach
585,Hwang Je
1496,ABONNE
1666,Võ Nhai
749,KIESLECT
114,TOSHIBA
341,ACECOOK
667,SHARP
1046,HAVIT
1493,DORBUA  LOTUS
775,Valentino
1079,Mota Montessori
526,Singha
879,LEGO HARRY POTTER
713,Moony
662,GERY
338,Lemonade
641,POWER100
50,SUMMER INFANT
430,RIO HOUSE
971,Rapido
479,Giorgio Armani
1308,Greenpan
784,Pampers
598,NIVEA
993,INOI
908,ROYALCARE
817,P/S
408,FATZBABY
130,BBLUV
1670,iBiero
219,nesvita
1017,DOUNAN
1281,My Skin 31 độ C
1664,Osaka
510,Maxkleen
581,DHC
1357,Comfee
129,Fixderma
