product_id,brand_id,cat1_id,cat2_id,category_id,product_sku,product_amount,product_discount
5358,454,5,43,195,2405P6355,278000,39963
5068,461,4,31,161,2405P6065,1194000,84183
16748,1275,3,24,149,2411P000137,220000,44000
4568,470,3,21,129,2405P5565,364000,106327
2092,76,3,21,132,2405P3089,254000,33957
491,116,7,64,264,2405P1488,1029000,271800
1720,233,3,21,133,2405P2717,138000,15999
21311,1128,6,53,231,2504P000253,978000,76640
2536,686,1,12,95,2405P3533,1258000,172800
24371,1504,3,29,341,2509P000629,,0
5386,42,3,24,148,2405P6383,771000,208230
10781,1042,3,21,129,2406P002039,423000,44823
14350,252,4,33,170,2408P000205,880000,57800
15395,514,5,41,184,2409V000190,885000,296475
14406,407,1,11,90,2408P000220,605000,214000
13627,861,5,38,181,2407P000233,544000,71700
6363,221,3,25,151,2405P7360,645000,52150
6122,45,1,12,95,2405P7119,2545000,163200
1402,650,3,21,129,2405P2399,354000,116400
4883,510,5,38,181,2405P5880,999000,499500
14904,867,1,11,93,2409P000138,1624000,97525
664,713,1,11,93,2405P1661,1545000,269000
21097,1368,3,24,149,2504P000100,834000,97701
5724,459,4,34,174,2405P6721,165000,9900
6318,258,3,24,148,2405P7315,369000,141737
21308,1177,6,53,231,2504P000250,4095000,152000
10789,643,3,24,149,2406P002047,630000,144000
14875,1161,3,29,341,2409P000113,,0
14758,2,4,35,178,2409P000007,650000,62000
19920,338,3,26,156,2502V003214,265320,38280
986,901,3,24,148,2405P1983,323000,54040
14641,1172,1,19,127,2408P000440,,0
6375,611,4,31,162,2405P7372,10140000,500000
1226,265,4,35,179,2405P2223,280000,100000
18492,872,7,64,264,2412P000588,723000,125935
19922,338,3,26,156,2502V003215,239000,53876
5909,549,4,36,180,2405P6906,690000,74000
6889,213,5,41,184,2405V1605,586000,79227
16423,1253,5,38,218,2410P000960,595000,210000
5049,461,4,31,161,2405P6046,1350000,84000
12177,481,1,11,93,2406P003435,1116000,122454
9835,343,3,21,129,2406P001093,298000,25666
12163,817,3,21,133,2406P003421,147001,47999
14556,353,4,35,177,2408P000357,259000,38465
8931,867,1,11,93,2406P000189,690000,176400
18368,340,1,12,99,2412P000464,778000,154600
15447,1210,3,23,141,2410P000023,477000,47800
21243,1371,4,37,339,2504P000214,264000,52800
837,116,5,41,184,2405P1834,318000,58200
12,42,3,25,152,2404P1012,306000,74000
1091,616,3,22,137,2405P2088,896000,146716
18615,1276,5,41,187,2412P000711,239000,39800
13759,109,3,24,147,2407P000362,1017000,600525
4962,593,4,34,174,2405P5959,710000,100000
2020,627,3,21,130,2405P3017,398000,51000
1009,218,4,35,177,2405P2006,483000,139440
1941,252,4,33,172,2405P2938,256000,32600
14431,1158,3,26,157,2408V000421,249000,120916
1497,34,4,35,178,2405P2494,500000,1000000
4265,587,1,14,107,2405P5262,400000,152000
15926,514,7,64,261,2410P000498,1098000,357120
19703,710,7,64,264,2502P000255,3850000,110643
12170,817,3,21,133,2406P003428,792000,114400
13349,886,4,34,176,2407P000031,330000,99000
14340,524,3,29,341,2408P000195,,0
13727,713,1,11,93,2407P000330,834000,110000
11650,714,3,29,341,2406P002908,,0
1646,641,5,38,214,2405P2643,350000,120001
1380,42,3,24,146,2405P2377,169000,40750
4634,510,5,38,181,2405P5631,1850000,90602
1850,644,1,14,105,2405P2847,398000,72000
5377,342,7,63,258,2405P6374,1100000,333636
1746,51,1,14,107,2405P2743,555000,99900
21822,1404,3,24,149,2506P000290,973000,93000
4007,454,5,43,195,2405P5004,1215000,112000
4608,428,3,24,146,2405P5605,725000,167526
12223,823,4,35,179,2406P003481,280000,50000
20030,521,7,63,254,2503P000046,242000,60000
4528,213,7,63,259,2405P5525,459000,165226
9851,500,3,24,146,2406P001109,878000,149425
2256,581,3,22,135,2405P3253,1700000,622000
1660,786,1,11,90,2405P2657,315000,43750
14328,42,3,29,341,2408P000183,,0
1410,812,4,34,176,2405P2407,834000,11596905
23392,454,5,38,215,2508P000405,298000,37250
4652,510,5,38,214,2405P5649,165000,36736
1434,395,4,34,176,2405P2431,530000,64800
2604,169,3,25,152,2405P3601,289000,77600
15884,906,4,39,183,2410P000456,,0
2370,169,3,24,148,2405P3367,369000,108480
24290,1496,3,21,129,2509V000493,139000,60750
15367,45,1,12,95,2409P000585,4040000,317400
819,866,3,24,146,2405P1816,1497000,449100
20499,1362,4,34,175,2503P000232,192000,38000
2906,340,1,12,99,2405P3903,1014000,105960
13789,216,5,38,181,2407P000392,976000,73851
14515,1116,4,33,170,2408P000320,450000,50400
4606,169,3,24,145,2405P5603,279000,70091
1021,34,4,35,177,2405P2018,2475000,282720
1297,216,5,38,181,2405P2294,1380000,200000
13721,169,3,29,341,2407P000324,,0
20895,42,3,29,341,2504P000002,,0
13494,690,1,11,92,2407P000104,695000,114000
516,116,7,64,264,2405P1513,578000,162570
1174,2,4,35,179,2405P2171,833000,230520
13711,34,4,39,183,2407P000314,,0
20502,1026,4,32,166,2503P000235,219800,32970
10405,396,3,21,131,2406P001663,318000,52000
10412,1039,3,25,151,2406P001670,191000,47000
14561,353,4,35,177,2408P000362,320000,8143
21874,1214,1,19,127,2506P000336,,0
22081,1274,6,59,250,2507P000122,,0
20501,1362,4,34,175,2503P000234,100000,60000
