category_id,category_name
420,Giày Bóng Chuyền
194,"Móc Treo, Thùng đựng quần áo"
138,Tã người lớn
222,Quà tặng nhà cửa và đời sống
172,Thực phẩm khác
270,"Máy lạnh, Máy điều hòa"
136,Thiết bị chăm sóc sức khỏe
245,Áo kiểu
64,Thiết bị điện nhà bếp
85,Qùa tặng thể thao dã ngoại khác
144,Nước hoa khác
408,Bơi Lội & Lặn
273,Đầm
45,Nội thất và trang trí nhà cửa
232,"USB, Củ sạc , Cổng kết nối"
20,Quà tặng mẹ và bé
186,"Dao, Kéo, Thớt"
410,Yoga & Pilates
234,Phụ kiện di động khác
33,Thực phẩm khô và đóng hộp
46,Ngoài trời và sân vườn
310,Quà tặng Thời trang
309,Quà tặng Thời trang
322,Qùa tặng thể thao dã ngoại khác
58,Quần áo
200,Thiết bị điện khác
198,Ổ cắm
102,"Chăm sóc mẹ mang thai, sau sinh"
199,Pin
36,Bộ quà tặng
41,Đồ dùng nhà bếp và phòng ăn
247,Máy chiếu
398,Dụng Cụ Thể Thao & Dã Ngoại
264,"Máy ép/xay, Máy pha cà phê"
73,Giày dép
401,Bida
399,Cầu Lông
208,"Dụng cụ sửa chữa, làm vườn"
301,Ví dài
191,"Chăn, Gối, Drap, Mùng"
163,Sữa bột
349,Quà tặng Điện gia dụng
178,Gia vị
366,Phụ kiện đồ bơi
351,Combo quà tặng
244,Phụ kiện Laptop và Máy tính để bàn khác
368,Chống nắng cho bé
238,"Máy ảnh, máy quay và phụ kiện"
139,Chăm sóc sức khỏe khác
224,Điện thoại Smartphone
263,"Lò nướng, Lò vi sóng"
134,Phụ kiện chăm sóc cá nhân
40,"Quà tặng Thực phẩm, bánh kẹo và nước giải khát"
272,Phụ kiện thiết bị khác
22,Chăm sóc Sức Khỏe
183,"Quà tặng Thực phẩm, bánh kẹo và nước giải khát"
361,Combo quà tặng
101,Ăn dặm khác
353,Quà tặng Mẹ & Bé	
355,Quà tặng Làm đẹp
71,Quà tặng Điện gia dụng
275,Quần
38,Giặt giũ và Chăm sóc nhà cửa
42,Đồ dùng phòng ngủ
212,Phụ kiện khác
383,Thời Trang Thể Thao & Dã Ngoại Khác
306,Vớ
131,Sản phẩm khử mùi
209,Ô tô
217,"Sáp thơm, Túi Thơm, Xịt thơm"
243,"Chuột, Bàn phím"
343,Quà tặng Mẹ & Bé
88,Dịch vụ đổi trả và hoàn tiền
205,Đồ trang trí khác
126,Quà tặng mẹ và bé
23,Nước hoa
400,Bóng Rổ
403,Đạp Xe
97,Ăn dặm
92,"Tã, Bỉm dán"
226,Máy tính bảng
65,Tủ lạnh và Tủ mát
28,Sản phẩm Sức khỏe và sắc đẹp khác
57,"Laptop, Máy tính để bàn và phụ kiện"
98,Sữa nước mẹ và bé
328,Quà lưu niệm
248,Phần mềm
95,Sữa bột cho bé
56,Thiết bị thông minh
72,Túi
152,Dưỡng tóc
348,Quà tặng Nhà cửa & Đời sống
251,Quà tặng Điện tử và công nghệ
155,Trang điểm mặt
190,"Giường, Nệm, Chiếu"
166,"Hạt, Trái cây sấy"
364,Áo bơi
8,Thể thao dã ngoại
318,Đồ dùng dã ngoại
230,Tai nghe
118,Đồ chơi sơ sinh
316,Dịch vụ khác
277,Áo thun các loại
171,Thực phẩm đóng hộp
213,Phụ kiện khác
407,"Bóng Đá, Futsal & Cầu Mây"
379,Bộ Đồ Thể Thao
103,"Máy hút sữa, máy hâm, máy tiệt trùng, túi trữ sữa"
113,Thời trang bé trai
119,Đồ chơi giáo dục
255,Máy lọc cây nước nóng lạnh
128,Quà tặng mẹ và bé
83,Sản phẩm thể thao dã ngoại khác
17,Đồ chơi
16,Thời trang mẹ và bé
30,Quà tặng Sức khỏe và sắc đẹp
66,Máy lạnh và Máy điều hòa
18,Sản phẩm mẹ và bé khác
397,Phụ Kiện Tập Luyện
388,Giày Dã Ngoại
223,Quà tặng nhà cửa và đời sống
159,Dụng cụ trang điểm
274,Đồ ngủ và mặc ở nhà
265,Máy giặt
204,"Rèm, Màn Cửa"
304,Thắt lưng
381,Đồ Bơi
169,Gạo
31,Sữa và sản phẩm từ Sữa
133,Chăm sóc răng miệng
168,"Ngũ cốc, Bột"
384,Giày Thể Thao
405,Môn Thể Thao Khác
283,Túi Tote
206,"Áo Mưa, Ô dù và Phụ kiện"
122,Đồ chơi khác
44,Thiết bị điện và chiếu sáng
173,Thực phẩm khác
281,Túi đeo chéo
416,Bánh trung thu
179,Nguyên liệu
303,Mắt kính
63,Thiết bị gia đình
225,Điện thoại khác
51,Quà tặng nhà cửa và đời sống
60,Quà tặng Điện tử và công nghệ
99,Dinh dưỡng khác cho mẹ và bé
325,Văn phòng phẩm
417,Hamper Tet
79,Dụng cụ và Thiết bị tập thể thao
203,"Tủ, Kệ"
292,Giày đi mưa
75,Phụ kiện thời trang
360,Quà tặng Điện tử & Công nghệ
391,Giày Chạy Bộ
412,Đồ Bảo Hộ Gym
367,Thiết bị sưởi
382,Áo Thể Thao
332,"Sản phẩm Sách, Văn phòng phẩm và phiếu mua hàng khác"
121,"Lắp ghép, Xếp hình"
393,Giày Tennis
385,Giày Cầu Lông
338,Thức ăn & Dinh dưỡng cho Thú cưng
362,Quà tặng khác
261,"Bếp, Nồi điện"
7,Điện lạnh và Điện gia dụng
100,Ăn dặm khác
282,Túi cầm tay
61,Quà tặng Điện tử và công nghệ
201,Thiết bị điện khác
389,Giày Thể Thao Trẻ Em
387,Giày Tập Luyện
195,Dụng cụ nhà tắm khác
87,Dịch vụ sửa chữa và bảo hành
50,Quà tặng nhà cửa và đời sống
276,Áo sơ mi
286,Giày boots
374,Phiếu mua hàng
288,Phụ kiện giày
392,Giày Bóng Đá
373,Phiếu mua hàng
371,Bánh trung thu
331,"Sản phẩm Sách, Văn phòng phẩm và phiếu mua hàng khác"
345,Quà tặng Làm đẹp
96,"Sữa cho mẹ mang thai, sau sinh"
39,"Quà tặng Thực phẩm, bánh kẹo và nước giải khát"
181,Giặt giũ
268,Máy sấy quần áo
411,Tennis
177,Dầu ăn
365,Quần bơi
359,Quà tặng Điện gia dụng
93,"Tã, Bỉm quần"
160,Thiết bị làm đẹp
380,Áo Lót Thể Thao
216,"Vệ sinh sàn, Toa lét"
109,Đồ dùng khác
315,Dịch vụ đổi trả
3,Sức khỏe và Làm đẹp
324,Sách
130,Chăm sóc cơ thể
347,Quà tặng Thời trang
141,Nước hoa nam
4,Bách hóa online
70,Quà tặng Điện gia dụng
257,"Máy tạo ẩm, hút ẩm"
37,"Sản phẩm Thực phẩm, bánh kẹo và nước giải khát khác"
35,Gia vị và chế biến
370,"Quà tặng Sách, Văn phòng phẩm và Quà tặng"
82,Thực phẩm bổ sung năng lượng
116,Thời trang cho mẹ và bé khác
112,Thời trang bé gái
107,"Nước rửa bình, giặt xả mẹ và bé"
148,Kem chống nắng
293,Giày đế bằng
297,Giày cao gót đế bằng
284,Túi du lịch
156,Trang điểm mắt
311,Dịch vụ giao hàng
221,Sản phẩm nhà cửa và đời sống khác
346,Quà tặng Bách hóa
124,Đồ chơi mô hình
24,Chăm sóc da
10,Dịch vụ/ Phiếu mua hàng
106,"Xe đẩy, Đai địu"
252,Quà tặng Điện tử và công nghệ
239,Thiết bị thông minh
229,Thiết bị đeo thông minh
287,"Dép xỏ ngón, Dép trượt và Dép"
86,Dịch vụ vận chuyển và lắp đặt
91,Miếng lót sơ sinh
32,Bánh kẹo
26,Trang điểm
76,Sản phẩm Thời trang khác
231,Camera
193,"Khăn tắm, Bông tắm"
363,Trang phục bơi
289,Slip-Ons và giày lười
253,Tivi
402,Cắm Trại & Dã ngoại
162,Sữa bột
291,Dép thể thao
5,Nhà cửa và đời sống
13,"Chăm sóc mẹ mang thai, sau sinh"
80,Đồ dùng dã ngoại
189,Phụ kiện nhà bếp và phòng ăn khác
81,Phụ Kiện Thể Thao & Dã Ngoại
419,Thời Trang Thể Thao Trẻ Em
298,Trang sức
358,Quà tặng Nhà cửa & Đời sống
300,Ví ngắn
333,"Quà tặng Sách, Văn phòng phẩm và phiếu mua hàng"
175,Nước giải khát
196,"Đèn, Thiết bị chiếu sáng"
137,Sản phẩm hỗ trợ tình dục
43,Đồ dùng nhà tắm
29,Quà tặng Sức khỏe và sắc đẹp
110,Đồ dùng khác
123,Đồ chơi mô hình
378,Áo CLB
256,Máy lọc không khí
254,Quạt
120,Đồ chơi vận động
192,Đồ dùng phòng ngủ khác
164,Bánh - Snack
187,"Ly nước, Bình nước"
145,Tẩy trang
197,Vali
27,Thiết bị làm đẹp
11,"Tã, bỉm"
235,Âm thanh
418,Sản phẩm thời vụ khác
176,Đồ uống có cồn
296,Sandals
149,Mặt nạ
111,Thời trang mẹ bầu
299,Đồng hồ
125,Sản phẩm mẹ và bé khác
210,"Xe máy, Xe điện"
68,Phụ kiện thiết bị khác
314,Dịch vụ bảo hành
413,Dụng Cụ Bảo Vệ Miệng & Băng Keo Thể Thao
34,Đồ uống giải khát
2,Thời trang
157,Trang điểm môi
